CTM_ID,quantity,Revenue_TargetExtPrice,Revenue_ODExtPrice,Discount,Avg_Discount_Pct
32928.0,276186.0,878139.3389999974,878025.7599999976,113.57899999999985,0.0001293405214363141
34951.0,262511.0,343910.87799999997,330759.94000000006,13150.937999999967,0.03823937781927319
20038.0,232048.0,1558467.735,1558494.3099999996,-26.574999999994773,-1.705200525052562e-05
32973.0,202013.0,280494.4270000004,252889.54000000012,27604.88700000001,0.09841509970534984
34952.0,154828.0,91854.97100000002,87310.69000000002,4544.281000000002,0.04947234701102895
23043.0,154363.0,908847.3299999979,894323.729999998,14523.6,0.01598024169801988
34954.0,151058.0,90571.5609999996,90105.30999999975,466.2509999999992,0.00514787417653099
19098.0,102047.0,223694.95000000013,214916.44000000012,8778.510000000006,0.03924321939319596
34000.0,93753.0,154464.10200000007,121502.41000000009,32961.69199999997,0.2133938667509941
22200.0,84111.0,378902.1090000009,379114.7700000009,-212.66099999999997,-0.0005612557833506264
30027.0,81993.0,360549.712999999,357234.82999999967,3314.883,0.00919396932095189
32430.0,80492.0,191658.5360000008,188572.06000000052,3086.4760000000015,0.01610403619069692
13507.0,79248.0,356368.85999999975,353114.7699999998,3254.0900000000006,0.009131241152776375
18367.0,75203.0,478092.3200000004,464676.2100000005,13416.109999999997,0.02806175593868562
8312.0,70596.0,1267356.190000003,1273799.7400000023,-6443.549999999998,-0.005084245495340961
14103.0,69314.0,343456.20999999973,342610.9199999998,845.2900000000004,0.002461128887435173
9342.0,66737.0,109023.88,106768.92000000004,2254.9600000000014,0.020683175098886605
35305.0,66584.0,771827.4100000014,775709.5200000016,-3882.11,-0.0050297643614392925
10252.0,65691.0,221852.1599999994,213201.2499999994,8650.910000000005,0.03899403097991035
4569.0,65546.0,349405.0999999998,316023.53999999975,33381.560000000005,0.09553827348255656
32397.0,65148.0,628563.0200000048,646839.1900000041,-18276.170000000006,-0.029076113959106066
18672.0,64561.0,3173104.799000017,3186243.670000018,-13138.870999999996,-0.00414069872641478
6137.0,62356.0,1430053.2300000137,1413478.9600000123,16574.27,0.011589967179053777
14588.0,61034.0,104994.34200000006,90626.15000000013,14368.191999999995,0.1368472979239204
7237.0,60798.0,232005.22299999994,229683.90000000029,2321.323000000001,0.010005477333585724
20798.0,56368.0,639054.5680000082,630804.3500000092,8250.218000000004,0.012910036815510093
35908.0,53773.0,276311.757,269221.60999999964,7090.146999999999,0.025659954093086235
18181.0,53196.0,259461.595,254916.11999999997,4545.475,0.017518874036059173
23125.0,52009.0,2423804.037000015,2443843.6900000162,-20039.653000000017,-0.008267851977341967
11104.0,51318.0,143458.54,143089.43000000002,369.10999999999973,0.00257293849498259
18635.0,50029.0,549468.0199999991,531916.9400000003,17551.07999999998,0.03194194996098228
30397.0,49878.0,1189459.119999997,1178170.4799999974,11288.640000000001,0.009490565762360988
7867.0,47690.0,646693.0200000006,649136.1799999999,-2443.1600000000017,-0.0037779285139029326
32965.0,47411.0,196178.1599999988,192694.03999999896,3484.1199999999976,0.01775997899052585
15709.0,47170.0,108431.81899999996,101735.57999999994,6696.239000000002,0.06175529527914684
6268.0,47130.0,560523.0990000025,558341.7600000028,2181.338999999998,0.0038916130376992516
14971.0,46899.0,195815.80999999982,168701.0199999999,27114.789999999994,0.13847089262097895
37549.0,46474.0,211646.14999999997,179455.95999999996,32190.19,0.15209438017181037
22105.0,45768.0,97256.99999999997,89239.56999999998,8017.429999999999,0.08243550592759392
32913.0,44995.0,189537.64999999962,181409.86000000004,8127.789999999994,0.04288219253536176
6424.0,44761.0,1540392.247999999,1531390.3399999994,9001.908000000009,0.00584390632430657
296.0,44565.0,316376.30000000005,242028.20000000004,74348.1,0.23499895535790763
17330.0,44481.0,250532.56000000102,256263.26,-5730.699999999997,-0.022874072735296257
19204.0,44288.0,48301.648999999954,46608.92999999995,1692.7189999999998,0.03504474557380021
3976.0,42478.0,297343.21000000014,296197.8199999999,1145.3899999999978,0.003852080563736422
3450.0,42121.0,1310932.4089999972,1217566.1000000008,93366.30900000008,0.07122129894646634
23572.0,42118.0,225985.01000000062,228752.29000000068,-2767.279999999998,-0.012245413976794258
27786.0,41581.0,1638789.0780000035,1632135.9400000032,6653.138,0.004059789077993834
17000.0,41166.0,450505.5540000001,413080.06,37425.493999999955,0.0830744341944338
31270.0,41106.0,2109910.194000008,2073069.1100000024,36841.084000000024,0.01746097255928983
5257.0,40509.0,1475346.3000000056,1479007.9100000048,-3661.610000000001,-0.0024818647662585977
1401.0,40374.0,38663.94,34186.979999999996,4476.96,0.11579161358102666
24368.0,40273.0,495265.9400000014,473142.85999999964,22123.07999999999,0.04466909232643765
31636.0,39350.0,236313.35000000047,231995.48000000068,4317.870000000004,0.018271798863669766
25361.0,39255.0,718433.6600000008,724999.6500000006,-6565.99,-0.009139312876849328
14951.0,39185.0,704586.3800000002,646992.7300000001,57593.649999999994,0.0817410776518274
16291.0,39023.0,362810.3300000002,373444.6300000001,-10634.300000000001,-0.029310907437503215
7852.0,38608.0,106145.07999999991,106059.91999999991,85.16000000000008,0.0008022981376056257
34384.0,38538.0,21826.209999999992,24579.120000000003,-2752.9099999999994,-0.12612863158560284
3094.0,38188.0,501901.17399999977,467945.70000000007,33955.47400000001,0.06765370506983517
14235.0,37857.0,596494.8990000006,477957.2699999998,118537.62899999983,0.19872362563154075
17394.0,37352.0,54948.64,53028.880000000005,1919.76,0.03493735240763011
35318.0,37307.0,1599044.7000000179,1514803.0900000182,84241.60999999994,0.05268246097185338
31043.0,36934.0,1760925.2899999965,1723249.679999996,37675.60999999998,0.021395348351206912
15948.0,36821.0,1292958.9670000072,1286771.6700000055,6187.297,0.004785377694047088
1023.0,36751.0,98114.01000000014,96743.77000000003,1370.2400000000002,0.013965793468231482
4732.0,36184.0,900833.2769999991,969684.6599999977,-68851.38299999999,-0.07643077221713254
18155.0,35650.0,10832.5,10505.500000000002,327.0,0.03018693745672744
